,Symbol
2091,APHS IS
1884,63MOONS IS
495,ABAN IS
14684,ABB IS
15984,ABCAP IS
15784,ABFRL IS
7885,ABNL IS
7086,ADANI IS
497,ADE IS
9588,ADSEZ IS
15186,AIAE IS
2585,AISG IS
11687,AJP IS
4985,AL IS
2087,ALBK IS
2488,ALFA IS
15787,ALKEM IS
14388,ALPM IS
15788,AMRJ IS
4486,AMTK IS
7190,ANDB IS
5991,APNT IS
11190,APTY IS
1199,ARBP IS
3791,ARCP IS
10692,ARVND IS
14993,AUBANK IS
15292,AVNT IS
9496,BAF IS
13294,BATA IS
15894,BBTC IS
2693,BCORP IS
608,BD IS
2196,BEML IS
15294,BHAFIN IS
12195,BHE IS
5995,BHFC IS
10797,BHIN IS
15496,BIL IS
1204,BILT IS
11196,BIOS IS
11697,BJFIN IS
6497,BJH IS
10102,BOI IS
6498,BOMH IS
316,BRCM IS
15598,BRGR IS
1706,BRIT IS
813,BRPL IS
10004,BSOFT IS
12600,CAIR IS
15100,CBK IS
14802,CBOI IS
1309,CBOP IS
13400,CCRI IS
5200,CDH IS
14000,CEAT IS
6002,CENT IS
619,CESC IS
224,CGPOWER IS
7903,CHMB IS
15103,CIFC IS
6304,CLGT IS
11009,CMC IS
15005,CRIN IS
13704,CRISIL IS
15504,CROMPTON IS
3703,CRPBK IS
15804,CSTRL IS
15905,DBL IS
9008,DBNK IS
13805,DCBB IS
325,DCIL IS
4505,DECH IS
11508,DEWH IS
12909,DITV IS
10711,DIVI IS
11310,DLFU IS
14711,DMART IS
16008,EDEL IS
6109,EDSL IS
2911,EIH IS
9314,EIM IS
15411,ENDU IS
3111,ENGR IS
16111,ESC IS
7611,ESOIL IS
2116,EXID IS
14916,FB IS
15914,FCON IS
3311,FEL IS
14414,FORH IS
15317,FRETAIL IS
7313,GCPL IS
15916,GDSP IS
8016,GEPIL IS
6016,GESCO IS
5917,GETD IS
6317,GILL IS
8915,GITG IS
732,GMON IS
15319,GMRI IS
1426,GNC IS
16118,GNP IS
15321,GOAGRO IS
11814,GPPV IS
15721,GRHF IS
15822,GRIL IS
13814,GUJS IS
3818,GVKP IS
10421,HAVL IS
6221,HCLI IS
11717,HDIL IS
1828,HDPH IS
15525,HEG IS
2725,HEXW IS
13419,HMN IS
5823,HMT IS
10123,HPCL IS
7423,HTML IS
6126,HUB IS
15427,HUDCO IS
1234,HVL IS
8024,HZ IS
6127,IBREL IS
1334,IBULL IS
15127,IBVE IS
9826,ICEM IS
14828,ICICIGI IS
15029,IDBI IS
14930,IDFC IS
15829,IDFCFB IS
6130,IFCI IS
5026,IGL IS
6032,IH IS
11326,IHFL IS
1535,IIB IS
6233,INBK IS
14024,INDIGO IS
14430,INFIBEAM IS
16132,INFOE IS
4231,IOB IS
10829,IOCL IS
10030,IPCA IS
14432,IPRU IS
15136,IRB IS
5535,IVRC IS
2936,JETIN IS
10932,JI IS
3934,JKBK IS
11432,JPA IS
5438,JSAW IS
1739,JSP IS
4634,JSTL IS
12230,JSW IS
1539,JSWI IS
13129,JUBI IS
1144,JUBILANT IS
12831,JUST IS
9436,KBL IS
4836,KKB IS
4837,KKC IS
652,KMB IS
6041,KNPL IS
3639,KSK IS
9039,KVB IS
2340,LANCI IS
1445,LELA IS
5544,LICHF IS
5845,LPC IS
11640,LTFH IS
15340,LTI IS
15940,LTTS IS
15640,MAHGL IS
9540,MAXF IS
2344,MBI IS
857,MCHM IS
9641,MCLR IS
15842,MGFL IS
561,MINK IS
8241,MMFS IS
9643,MMTC IS
10443,MPHL IS
8844,MRCO IS
9145,MRF IS
6049,MRL IS
14847,MRPL IS
5749,MSS IS
13838,MTCL IS
4549,MTNL IS
15249,MUTH IS
14850,NACL IS
14851,NBCC IS
1655,NCRL IS
2150,NESRGJ IS
1359,NFSSL IS
8446,NHPC IS
173,NIBP IS
4649,NIRMA IS
12541,NJCC IS
14646,NMDC IS
15351,NTCPH IS
3552,OAXE IS
3155,OBC IS
14953,OBER IS
10950,OFSS IS
12146,OINL IS
7751,OPTC IS
12746,PAG IS
2756,PARSV IS
4354,PATNI IS
15454,PCJL IS
15954,PEPL IS
7752,PFIZ IS
9152,PG IS
15655,PI IS
10252,PIDI IS
8653,PIEL IS
969,PJT IS
9154,PLNG IS
13550,PNB IS
15958,PNBHOUSI IS
575,POL IS
7457,POWF IS
13352,PSYS IS
3459,PUNJ IS
15859,QUESS IS
15461,RBK IS
10556,RBXY IS
972,RCAPT IS
3262,RCF IS
13655,RCOM IS
13556,RECL IS
16064,RELI IS
14862,RJEX IS
9758,RNAVAL IS
13058,RPWR IS
2763,RW IS
13459,SAIL IS
8758,SANL IS
5562,SCI IS
1669,SDC IS
1767,SF IS
7962,SHRS IS
3963,SHTF IS
11563,SIB IS
14766,SIEM IS
13263,SINT IS
6663,SKB IS
1869,SLT IS
7766,SNDB IS
3967,SOBHA IS
15265,SOTL IS
11965,SPADV IS
3968,SRCM IS
14668,SRF IS
11768,STR IS
15268,SUEL IS
14170,SUNTV IS
15769,SYNG IS
8168,TATASTL IS
14969,TCOM IS
9268,TECHM IS
14772,TELX IS
7871,TGBL IS
12873,TMX IS
5671,TPW IS
15172,TPWR IS
12575,TRCL IS
11675,TRP IS
4072,TTAN IS
2174,TTCH IS
9676,TV18 IS
16179,TVSL IS
14380,UBBL IS
2976,UCO IS
15980,UNBK IS
2078,UNSP IS
391,UPLL IS
8679,UT IS
4976,UTCEM IS
15680,VARROC IS
3578,VEDL IS
16182,VGRD IS
4279,VJYBK IS
15782,VKI IS
11282,VOLT IS
2181,VYSB IS
7382,WLCO IS
9183,WPL IS
890,WYH IS
3083,YES IS
5183,Z IS
